max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless,hri_value
28.6,5.4,0.127143061,0.063729376,82736.5,51083792,11198,1737,0
19.5,-9.0,0.127143061,0.063729376,82736.5,51083792,186675,127722,4
28.5,3.6,0.13487497,0.064024887,86771.0,51097595,175741,121175,4
34.5,15.5,0.123822999,0.062661603,75925.25,51047292,27006,8345,27
43.3,25.9,0.120455594,0.059930489,65780.75,50440323,27006,8345,72
24.0,3.7,0.13487497,0.064024887,86771.0,51097595,186675,127722,454
19.6,-3.8,0.13487497,0.064024887,86771.0,51097595,44337,19689,133
16.3,-8.8,0.143754067,0.066437857,89433.75,51296062,49612,15618,9
34.1,6.3,0.123822999,0.062661603,75925.25,51047292,69137,26627,117
39.9,10.8,0.120455594,0.059930489,65780.75,50440323,186675,127722,318
25.7,-1.7,0.120455594,0.059930489,65780.75,50440323,14459,3536,15
34.3,11.8,0.122209383,0.062331384,71354.25,50970442,211600,140401,61
12.2,-8.6,0.13487497,0.064024887,86771.0,51097595,186675,127722,18
23.8,1.8,0.122209383,0.062331384,71354.25,50970442,41645,18141,5
30.4,5.1,0.143754067,0.066437857,89433.75,51296062,11198,1737,25
17.5,-7.0,0.123822999,0.062661603,75925.25,51047292,38691,15373,22
33.8,11.3,0.143754067,0.066437857,89433.75,51296062,41645,18141,472
18.9,4.1,0.13487497,0.064024887,86771.0,51097595,38691,15373,268
25.4,1.9,0.143754067,0.066437857,89433.75,51296062,41645,18141,19
9.2,-10.1,0.143754067,0.066437857,89433.75,51296062,211600,140401,4
43.3,17.7,0.143754067,0.066437857,89433.75,51296062,154765,102050,256
20.7,-2.1,0.122209383,0.062331384,71354.25,50970442,186675,127722,4
27.3,-1.6,0.120455594,0.059930489,65780.75,50440323,13269,2606,19
20.5,5.7,0.127143061,0.063729376,82736.5,51083792,68248,26140,92
43.3,18.2,0.120455594,0.059930489,65780.75,50440323,79024,39158,239
16.2,-6.3,0.120455594,0.059930489,65780.75,50440323,37503,14843,15
19.4,-2.9,0.13487497,0.064024887,86771.0,51097595,69137,26627,28
29.9,1.3,0.127143061,0.063729376,82736.5,51083792,68248,26140,30
26.5,-1.2,0.123822999,0.062661603,75925.25,51047292,37503,14843,25
16.4,-11.4,0.143754067,0.066437857,89433.75,51296062,40033,16107,20
19.6,1.2,0.120613729,0.061154306,68955.0,50728272,14459,3536,4
30.0,6.2,0.143754067,0.066437857,89433.75,51296062,186675,127722,22
21.9,-1.0,0.13487497,0.064024887,86771.0,51097595,69137,26627,129
29.0,6.1,0.13487497,0.064024887,86771.0,51097595,199746,131708,61
21.2,2.4,0.122209383,0.062331384,71354.25,50970442,186675,127722,227
18.3,-7.4,0.127143061,0.063729376,82736.5,51083792,75124,33971,5
35.6,8.2,0.127143061,0.063729376,82736.5,51083792,72707,9836,25
43.3,14.2,0.122209383,0.062331384,71354.25,50970442,211600,140401,363
31.8,5.9,0.127143061,0.063729376,82736.5,51083792,186675,127722,144
34.8,12.8,0.122209383,0.062331384,71354.25,50970442,44337,19689,668
34.1,14.1,0.127143061,0.063729376,82736.5,51083792,70087,31698,19
42.7,9.2,0.120613729,0.061154306,68955.0,50728272,199746,131708,268
30.9,2.5,0.120613729,0.061154306,68955.0,50728272,14027,2921,290
28.5,12.0,0.120613729,0.061154306,68955.0,50728272,211600,140401,63
25.4,2.4,0.127143061,0.063729376,82736.5,51083792,13240,1956,17
28.3,-0.9,0.120455594,0.059930489,65780.75,50440323,67013,25395,20
36.1,20.0,0.120613729,0.061154306,68955.0,50728272,69137,26627,155
43.3,28.8,0.123822999,0.062661603,75925.25,51047292,27006,8345,156
18.0,-4.3,0.120455594,0.059930489,65780.75,50440323,49612,15618,15
30.2,14.3,0.13487497,0.064024887,86771.0,51097595,75124,33971,161
31.3,7.6,0.13487497,0.064024887,86771.0,51097595,27006,8345,89
19.3,-4.2,0.13487497,0.064024887,86771.0,51097595,72707,9836,9
9.2,-14.6,0.120455594,0.059930489,65780.75,50440323,175741,121175,1
24.0,1.0,0.13487497,0.064024887,86771.0,51097595,13054,1749,6
33.5,13.7,0.127143061,0.063729376,82736.5,51083792,27006,8345,430
36.7,12.9,0.120613729,0.061154306,68955.0,50728272,14027,2921,306
18.2,-1.1,0.13487497,0.064024887,86771.0,51097595,154765,102050,2
37.4,18.4,0.123822999,0.062661603,75925.25,51047292,41645,18141,25
25.1,-2.7,0.122209383,0.062331384,71354.25,50970442,69137,26627,18
2.6,-8.6,0.143754067,0.066437857,89433.75,51296062,49612,15618,1
20.4,-5.6,0.120455594,0.059930489,65780.75,50440323,38691,15373,23
30.3,5.1,0.122209383,0.062331384,71354.25,50970442,70087,31698,65
21.3,-0.6,0.127143061,0.063729376,82736.5,51083792,27006,8345,10
38.1,21.0,0.143754067,0.066437857,89433.75,51296062,199746,131708,462
32.1,12.1,0.127143061,0.063729376,82736.5,51083792,49612,15618,52
5.8,-14.8,0.13487497,0.064024887,86771.0,51097595,49612,15618,2
24.3,6.5,0.127143061,0.063729376,82736.5,51083792,72707,9836,70
19.5,5.9,0.13487497,0.064024887,86771.0,51097595,44337,19689,5
33.6,13.8,0.123822999,0.062661603,75925.25,51047292,13240,1956,98
16.7,-9.3,0.122209383,0.062331384,71354.25,50970442,38691,15373,19
29.7,12.2,0.120455594,0.059930489,65780.75,50440323,211600,140401,800
14.2,-9.8,0.120613729,0.061154306,68955.0,50728272,41645,18141,8
15.8,-4.1,0.122209383,0.062331384,71354.25,50970442,15456,4053,9
39.8,11.1,0.13487497,0.064024887,86771.0,51097595,199746,131708,27
42.6,16.6,0.127143061,0.063729376,82736.5,51083792,67013,25395,29
16.3,-3.1,0.127143061,0.063729376,82736.5,51083792,175741,121175,119
24.6,5.8,0.120613729,0.061154306,68955.0,50728272,72707,9836,7
31.0,5.8,0.13487497,0.064024887,86771.0,51097595,13240,1956,43
28.6,3.0,0.127143061,0.063729376,82736.5,51083792,13269,2606,12
27.7,2.5,0.120455594,0.059930489,65780.75,50440323,49612,15618,0
24.6,-6.7,0.120613729,0.061154306,68955.0,50728272,211600,140401,21
32.9,3.3,0.13487497,0.064024887,86771.0,51097595,67013,25395,27
30.4,-3.8,0.120613729,0.061154306,68955.0,50728272,67013,25395,8
17.2,-10.4,0.122209383,0.062331384,71354.25,50970442,41645,18141,10
26.5,5.4,0.123822999,0.062661603,75925.25,51047292,40033,16107,164
29.4,9.8,0.143754067,0.066437857,89433.75,51296062,14027,2921,22
18.4,-1.6,0.143754067,0.066437857,89433.75,51296062,40578,17912,101
29.8,5.5,0.13487497,0.064024887,86771.0,51097595,75124,33971,84
27.3,3.5,0.143754067,0.066437857,89433.75,51296062,27006,8345,11
20.0,3.6,0.120613729,0.061154306,68955.0,50728272,79024,39158,12
30.8,3.4,0.127143061,0.063729376,82736.5,51083792,40033,16107,5
37.5,17.3,0.13487497,0.064024887,86771.0,51097595,69137,26627,504
16.3,-2.9,0.122209383,0.062331384,71354.25,50970442,11198,1737,6
40.0,12.0,0.123822999,0.062661603,75925.25,51047292,14027,2921,89
26.2,4.6,0.120455594,0.059930489,65780.75,50440323,186675,127722,19
31.5,10.8,0.120613729,0.061154306,68955.0,50728272,14027,2921,107
43.3,17.2,0.120613729,0.061154306,68955.0,50728272,40033,16107,6
25.1,8.9,0.13487497,0.064024887,86771.0,51097595,68248,26140,18
19.5,1.0,0.127143061,0.063729376,82736.5,51083792,175741,121175,79
33.0,21.0,0.13487497,0.064024887,86771.0,51097595,68248,26140,96
19.3,-1.8,0.123822999,0.062661603,75925.25,51047292,14027,2921,19
27.9,-2.2,0.143754067,0.066437857,89433.75,51296062,27006,8345,70
32.3,9.9,0.127143061,0.063729376,82736.5,51083792,11198,1737,104
16.4,-1.7,0.123822999,0.062661603,75925.25,51047292,69137,26627,35
20.1,-3.3,0.122209383,0.062331384,71354.25,50970442,186675,127722,7
40.0,14.4,0.123822999,0.062661603,75925.25,51047292,44337,19689,321
28.7,2.1,0.123822999,0.062661603,75925.25,51047292,224813,141325,153
17.0,-1.8,0.143754067,0.066437857,89433.75,51296062,49612,15618,7
43.3,25.7,0.120613729,0.061154306,68955.0,50728272,79024,39158,31
25.8,0.9,0.13487497,0.064024887,86771.0,51097595,154765,102050,153
37.2,11.1,0.143754067,0.066437857,89433.75,51296062,72707,9836,542
25.3,1.5,0.123822999,0.062661603,75925.25,51047292,69137,26627,105
24.9,4.9,0.13487497,0.064024887,86771.0,51097595,79024,39158,268
35.1,7.0,0.127143061,0.063729376,82736.5,51083792,70087,31698,400
27.7,5.8,0.122209383,0.062331384,71354.25,50970442,186675,127722,15
20.2,-1.6,0.13487497,0.064024887,86771.0,51097595,49612,15618,4
29.0,0.8,0.120455594,0.059930489,65780.75,50440323,49612,15618,15
20.2,-9.9,0.122209383,0.062331384,71354.25,50970442,154765,102050,15
36.2,15.9,0.143754067,0.066437857,89433.75,51296062,11198,1737,523
24.0,7.2,0.143754067,0.066437857,89433.75,51296062,40033,16107,10
35.9,10.8,0.13487497,0.064024887,86771.0,51097595,199746,131708,36
37.4,13.3,0.13487497,0.064024887,86771.0,51097595,44337,19689,198
9.1,-10.9,0.143754067,0.066437857,89433.75,51296062,13269,2606,6
25.3,-1.7,0.123822999,0.062661603,75925.25,51047292,72707,9836,25
15.1,-0.4,0.13487497,0.064024887,86771.0,51097595,13240,1956,4
26.2,8.5,0.127143061,0.063729376,82736.5,51083792,15456,4053,139
29.1,1.0,0.123822999,0.062661603,75925.25,51047292,14027,2921,85
11.8,-3.3,0.143754067,0.066437857,89433.75,51296062,13269,2606,21
25.3,2.5,0.123822999,0.062661603,75925.25,51047292,13054,1749,11
27.4,6.7,0.127143061,0.063729376,82736.5,51083792,79024,39158,7
27.4,5.0,0.120455594,0.059930489,65780.75,50440323,224813,141325,312
35.7,11.1,0.120455594,0.059930489,65780.75,50440323,13269,2606,237
23.6,-0.8,0.123822999,0.062661603,75925.25,51047292,15456,4053,109
27.7,3.3,0.123822999,0.062661603,75925.25,51047292,27006,8345,175
21.1,-5.2,0.127143061,0.063729376,82736.5,51083792,27006,8345,5
20.5,0.2,0.120455594,0.059930489,65780.75,50440323,13240,1956,183
33.0,2.6,0.13487497,0.064024887,86771.0,51097595,68248,26140,115
36.2,23.2,0.122209383,0.062331384,71354.25,50970442,186675,127722,331
26.6,2.0,0.120613729,0.061154306,68955.0,50728272,186675,127722,21
24.4,-2.7,0.120455594,0.059930489,65780.75,50440323,79024,39158,5
33.7,8.0,0.143754067,0.066437857,89433.75,51296062,11198,1737,154
39.0,17.6,0.120455594,0.059930489,65780.75,50440323,13269,2606,326
32.5,14.6,0.127143061,0.063729376,82736.5,51083792,13269,2606,546
27.6,8.4,0.143754067,0.066437857,89433.75,51296062,199746,131708,98
9.2,-12.4,0.143754067,0.066437857,89433.75,51296062,154765,102050,12
19.1,-1.3,0.120613729,0.061154306,68955.0,50728272,14459,3536,9
15.9,-4.9,0.120613729,0.061154306,68955.0,50728272,14027,2921,19
20.3,-4.6,0.13487497,0.064024887,86771.0,51097595,175741,121175,24
31.3,7.9,0.13487497,0.064024887,86771.0,51097595,70087,31698,25
23.7,-6.0,0.127143061,0.063729376,82736.5,51083792,70087,31698,4
22.7,-4.8,0.127143061,0.063729376,82736.5,51083792,38691,15373,7
10.5,-10.0,0.13487497,0.064024887,86771.0,51097595,175741,121175,12
28.8,6.7,0.127143061,0.063729376,82736.5,51083792,224813,141325,130
28.5,14.5,0.143754067,0.066437857,89433.75,51296062,49612,15618,225
28.7,10.5,0.122209383,0.062331384,71354.25,50970442,44337,19689,278
27.3,0.3,0.143754067,0.066437857,89433.75,51296062,13054,1749,3
24.4,1.9,0.127143061,0.063729376,82736.5,51083792,40033,16107,29
22.5,-6.2,0.122209383,0.062331384,71354.25,50970442,41645,18141,62
9.4,-15.3,0.120613729,0.061154306,68955.0,50728272,13269,2606,19
12.3,-15.9,0.123822999,0.062661603,75925.25,51047292,211600,140401,23
43.3,15.8,0.120613729,0.061154306,68955.0,50728272,199746,131708,24
14.5,-8.4,0.123822999,0.062661603,75925.25,51047292,154765,102050,13
19.8,3.7,0.122209383,0.062331384,71354.25,50970442,67013,25395,87
17.7,-6.7,0.122209383,0.062331384,71354.25,50970442,68248,26140,27
35.4,17.4,0.13487497,0.064024887,86771.0,51097595,14459,3536,966
23.1,-5.2,0.122209383,0.062331384,71354.25,50970442,13054,1749,181
14.2,-12.8,0.120455594,0.059930489,65780.75,50440323,40033,16107,3
25.4,8.2,0.143754067,0.066437857,89433.75,51296062,224813,141325,21
40.0,19.5,0.127143061,0.063729376,82736.5,51083792,11198,1737,375
14.2,-4.7,0.127143061,0.063729376,82736.5,51083792,72707,9836,11
20.4,1.8,0.143754067,0.066437857,89433.75,51296062,37503,14843,136
17.4,-3.2,0.143754067,0.066437857,89433.75,51296062,27006,8345,31
36.2,21.2,0.13487497,0.064024887,86771.0,51097595,175741,121175,116
23.3,0.9,0.122209383,0.062331384,71354.25,50970442,75124,33971,8
33.9,11.5,0.143754067,0.066437857,89433.75,51296062,186675,127722,444
43.3,20.5,0.127143061,0.063729376,82736.5,51083792,70087,31698,502
32.3,8.6,0.120613729,0.061154306,68955.0,50728272,13240,1956,129
12.4,-8.3,0.120455594,0.059930489,65780.75,50440323,75124,33971,38
28.7,6.7,0.123822999,0.062661603,75925.25,51047292,40033,16107,21
36.6,13.3,0.13487497,0.064024887,86771.0,51097595,37503,14843,213
35.7,11.2,0.122209383,0.062331384,71354.25,50970442,72707,9836,0
43.3,18.6,0.120455594,0.059930489,65780.75,50440323,38691,15373,259
22.6,0.3,0.120455594,0.059930489,65780.75,50440323,13269,2606,107
36.8,13.7,0.123822999,0.062661603,75925.25,51047292,41645,18141,798
26.4,5.7,0.127143061,0.063729376,82736.5,51083792,224813,141325,6
21.2,-11.1,0.123822999,0.062661603,75925.25,51047292,199746,131708,17
26.7,6.0,0.143754067,0.066437857,89433.75,51296062,186675,127722,26
31.1,6.5,0.123822999,0.062661603,75925.25,51047292,186675,127722,144
14.7,-10.1,0.120455594,0.059930489,65780.75,50440323,38691,15373,16
36.5,21.9,0.120455594,0.059930489,65780.75,50440323,11198,1737,11
25.8,5.7,0.120455594,0.059930489,65780.75,50440323,69137,26627,137
42.1,25.5,0.120455594,0.059930489,65780.75,50440323,79024,39158,405
35.0,6.4,0.120455594,0.059930489,65780.75,50440323,13269,2606,351
13.0,-11.3,0.127143061,0.063729376,82736.5,51083792,49612,15618,1
22.2,8.5,0.127143061,0.063729376,82736.5,51083792,44337,19689,7
28.4,3.3,0.123822999,0.062661603,75925.25,51047292,49612,15618,58
23.0,-1.3,0.127143061,0.063729376,82736.5,51083792,154765,102050,177
29.9,1.2,0.122209383,0.062331384,71354.25,50970442,13240,1956,12
37.3,18.4,0.122209383,0.062331384,71354.25,50970442,38691,15373,358
25.4,-2.6,0.120455594,0.059930489,65780.75,50440323,68248,26140,5
32.1,11.8,0.123822999,0.062661603,75925.25,51047292,15456,4053,110
26.7,18.0,0.123822999,0.062661603,75925.25,51047292,175741,121175,67
34.9,8.8,0.120455594,0.059930489,65780.75,50440323,14459,3536,24
36.0,16.2,0.123822999,0.062661603,75925.25,51047292,70087,31698,288
17.8,-2.8,0.120613729,0.061154306,68955.0,50728272,37503,14843,32
21.0,6.6,0.127143061,0.063729376,82736.5,51083792,68248,26140,6
25.8,3.3,0.123822999,0.062661603,75925.25,51047292,72707,9836,22
30.1,9.3,0.122209383,0.062331384,71354.25,50970442,38691,15373,188
40.5,20.6,0.127143061,0.063729376,82736.5,51083792,13269,2606,749
12.5,-1.2,0.120613729,0.061154306,68955.0,50728272,40578,17912,12
26.5,3.1,0.122209383,0.062331384,71354.25,50970442,224813,141325,23
43.3,21.2,0.143754067,0.066437857,89433.75,51296062,15456,4053,556
25.5,4.9,0.122209383,0.062331384,71354.25,50970442,224813,141325,2
20.6,-5.6,0.122209383,0.062331384,71354.25,50970442,75124,33971,5
31.6,4.4,0.120613729,0.061154306,68955.0,50728272,13054,1749,169
3.1,-26.0,0.127143061,0.063729376,82736.5,51083792,199746,131708,0
39.3,19.1,0.123822999,0.062661603,75925.25,51047292,13269,2606,21
18.0,0.6,0.120455594,0.059930489,65780.75,50440323,40578,17912,17
35.4,6.7,0.122209383,0.062331384,71354.25,50970442,13054,1749,33
28.0,1.8,0.13487497,0.064024887,86771.0,51097595,27006,8345,24
36.7,10.6,0.127143061,0.063729376,82736.5,51083792,27006,8345,723
23.8,2.5,0.127143061,0.063729376,82736.5,51083792,13054,1749,9
30.6,11.5,0.13487497,0.064024887,86771.0,51097595,72707,9836,0
43.0,28.5,0.13487497,0.064024887,86771.0,51097595,13240,1956,235
26.4,5.4,0.123822999,0.062661603,75925.25,51047292,175741,121175,109
30.4,7.9,0.123822999,0.062661603,75925.25,51047292,38691,15373,21
31.7,11.8,0.143754067,0.066437857,89433.75,51296062,15456,4053,1060
23.1,0.4,0.122209383,0.062331384,71354.25,50970442,40578,17912,236
43.3,19.2,0.127143061,0.063729376,82736.5,51083792,49612,15618,0
21.1,7.9,0.122209383,0.062331384,71354.25,50970442,199746,131708,25
14.2,-5.2,0.143754067,0.066437857,89433.75,51296062,224813,141325,10
31.1,2.2,0.143754067,0.066437857,89433.75,51296062,79024,39158,285
9.9,-11.1,0.127143061,0.063729376,82736.5,51083792,68248,26140,53
21.1,3.8,0.123822999,0.062661603,75925.25,51047292,69137,26627,114
34.8,7.7,0.143754067,0.066437857,89433.75,51296062,40033,16107,89
34.7,12.6,0.127143061,0.063729376,82736.5,51083792,13054,1749,149
33.2,13.2,0.123822999,0.062661603,75925.25,51047292,70087,31698,269
35.9,6.5,0.127143061,0.063729376,82736.5,51083792,11198,1737,283
40.2,18.0,0.143754067,0.066437857,89433.75,51296062,69137,26627,904
36.4,15.7,0.127143061,0.063729376,82736.5,51083792,40033,16107,518
36.9,9.8,0.122209383,0.062331384,71354.25,50970442,11198,1737,429
34.0,4.5,0.13487497,0.064024887,86771.0,51097595,67013,25395,353
20.2,-2.8,0.13487497,0.064024887,86771.0,51097595,75124,33971,27
33.8,10.1,0.13487497,0.064024887,86771.0,51097595,175741,121175,0
21.2,-3.5,0.127143061,0.063729376,82736.5,51083792,14027,2921,254
31.9,12.9,0.127143061,0.063729376,82736.5,51083792,13240,1956,6
18.9,1.4,0.127143061,0.063729376,82736.5,51083792,40578,17912,24
21.5,-1.5,0.122209383,0.062331384,71354.25,50970442,13240,1956,10
27.8,2.7,0.127143061,0.063729376,82736.5,51083792,37503,14843,133
32.0,8.9,0.127143061,0.063729376,82736.5,51083792,49612,15618,359
21.7,0.9,0.123822999,0.062661603,75925.25,51047292,186675,127722,17
26.4,6.5,0.127143061,0.063729376,82736.5,51083792,79024,39158,31
18.3,-4.6,0.120613729,0.061154306,68955.0,50728272,186675,127722,27
19.6,-5.4,0.143754067,0.066437857,89433.75,51296062,13054,1749,4
27.3,8.5,0.143754067,0.066437857,89433.75,51296062,37503,14843,260
21.2,-1.6,0.122209383,0.062331384,71354.25,50970442,15456,4053,1
25.0,5.8,0.127143061,0.063729376,82736.5,51083792,14459,3536,11
23.9,11.7,0.123822999,0.062661603,75925.25,51047292,14459,3536,19
32.2,8.3,0.122209383,0.062331384,71354.25,50970442,75124,33971,316
20.0,1.1,0.127143061,0.063729376,82736.5,51083792,37503,14843,209
25.3,6.0,0.123822999,0.062661603,75925.25,51047292,70087,31698,36
43.3,23.5,0.123822999,0.062661603,75925.25,51047292,14459,3536,255
43.3,20.0,0.123822999,0.062661603,75925.25,51047292,41645,18141,581
21.5,3.0,0.120613729,0.061154306,68955.0,50728272,68248,26140,9
29.2,5.5,0.13487497,0.064024887,86771.0,51097595,199746,131708,12
20.2,-2.9,0.123822999,0.062661603,75925.25,51047292,13054,1749,56
24.7,-0.4,0.127143061,0.063729376,82736.5,51083792,40578,17912,4
30.4,12.4,0.123822999,0.062661603,75925.25,51047292,37503,14843,54
21.1,-6.0,0.123822999,0.062661603,75925.25,51047292,14027,2921,182
13.0,-8.5,0.123822999,0.062661603,75925.25,51047292,72707,9836,3
11.8,-14.2,0.123822999,0.062661603,75925.25,51047292,27006,8345,7
21.3,9.9,0.143754067,0.066437857,89433.75,51296062,40578,17912,107
23.3,-0.4,0.143754067,0.066437857,89433.75,51296062,199746,131708,14
31.3,9.6,0.13487497,0.064024887,86771.0,51097595,199746,131708,249
27.5,11.6,0.127143061,0.063729376,82736.5,51083792,67013,25395,5
21.8,1.6,0.123822999,0.062661603,75925.25,51047292,15456,4053,12
43.3,19.0,0.13487497,0.064024887,86771.0,51097595,175741,121175,330
14.0,-18.3,0.120613729,0.061154306,68955.0,50728272,15456,4053,19
21.6,4.4,0.13487497,0.064024887,86771.0,51097595,175741,121175,6
27.3,1.2,0.127143061,0.063729376,82736.5,51083792,199746,131708,13
9.8,-14.5,0.120613729,0.061154306,68955.0,50728272,211600,140401,0
31.5,8.4,0.120613729,0.061154306,68955.0,50728272,13240,1956,521
16.1,-0.6,0.123822999,0.062661603,75925.25,51047292,13240,1956,117
26.0,6.1,0.13487497,0.064024887,86771.0,51097595,68248,26140,161
27.9,7.4,0.120455594,0.059930489,65780.75,50440323,199746,131708,46
15.8,-8.7,0.123822999,0.062661603,75925.25,51047292,224813,141325,12
25.7,-4.7,0.143754067,0.066437857,89433.75,51296062,70087,31698,3
32.2,16.3,0.127143061,0.063729376,82736.5,51083792,69137,26627,94
43.3,19.3,0.120613729,0.061154306,68955.0,50728272,70087,31698,495
30.4,4.4,0.120613729,0.061154306,68955.0,50728272,49612,15618,131
7.3,-10.2,0.120455594,0.059930489,65780.75,50440323,154765,102050,8
17.9,0.1,0.123822999,0.062661603,75925.25,51047292,211600,140401,85
29.0,2.0,0.123822999,0.062661603,75925.25,51047292,224813,141325,8
16.3,0.8,0.120455594,0.059930489,65780.75,50440323,199746,131708,19
39.0,14.6,0.143754067,0.066437857,89433.75,51296062,40033,16107,331
23.9,-2.5,0.122209383,0.062331384,71354.25,50970442,186675,127722,3
28.5,10.5,0.143754067,0.066437857,89433.75,51296062,38691,15373,290
21.3,2.7,0.123822999,0.062661603,75925.25,51047292,13240,1956,10
15.0,-2.0,0.13487497,0.064024887,86771.0,51097595,154765,102050,14
10.9,-9.0,0.127143061,0.063729376,82736.5,51083792,154765,102050,133
33.3,19.8,0.143754067,0.066437857,89433.75,51296062,175741,121175,122
10.7,-2.7,0.143754067,0.066437857,89433.75,51296062,68248,26140,8
29.8,16.0,0.120613729,0.061154306,68955.0,50728272,72707,9836,20
22.9,0.4,0.143754067,0.066437857,89433.75,51296062,186675,127722,180
12.6,-11.0,0.13487497,0.064024887,86771.0,51097595,75124,33971,7
29.1,4.1,0.122209383,0.062331384,71354.25,50970442,40578,17912,4
27.6,4.9,0.123822999,0.062661603,75925.25,51047292,13269,2606,27
27.8,4.3,0.143754067,0.066437857,89433.75,51296062,224813,141325,5
20.0,-0.3,0.143754067,0.066437857,89433.75,51296062,38691,15373,11
34.3,17.4,0.13487497,0.064024887,86771.0,51097595,75124,33971,12
12.4,-6.1,0.13487497,0.064024887,86771.0,51097595,13054,1749,8
17.3,-5.6,0.122209383,0.062331384,71354.25,50970442,41645,18141,3
24.9,0.2,0.123822999,0.062661603,75925.25,51047292,67013,25395,213
27.2,5.3,0.122209383,0.062331384,71354.25,50970442,75124,33971,23
26.3,7.8,0.143754067,0.066437857,89433.75,51296062,199746,131708,85
4.2,-7.4,0.13487497,0.064024887,86771.0,51097595,37503,14843,32
33.5,1.0,0.143754067,0.066437857,89433.75,51296062,70087,31698,129
18.0,-2.5,0.13487497,0.064024887,86771.0,51097595,15456,4053,9
25.4,5.9,0.122209383,0.062331384,71354.25,50970442,11198,1737,0
40.8,9.7,0.143754067,0.066437857,89433.75,51296062,69137,26627,214
